sample,rho
0,-0.033719767128535034
1,0.02922912693375701
2,0.008415086567802538
3,0.03446389881812481
4,0.030820537994230932
5,0.035271419971175305
6,-0.0339744434077435
7,-0.03043320203537244
8,0.012892612323213476
9,0.007202533080351439
10,-0.010083199961411068
11,0.026425306698782382
12,-0.0048100408322383666
13,0.021605272194729207
14,-0.019259230677524324
15,0.03267521195446178
16,0.031780255192591096
17,0.0068189853364408
18,0.03939691232321798
19,0.06500295440261152
20,0.006249183690927427
21,0.012722449315579714
22,-0.02067403876495313
23,0.0136994840679872
24,0.010267415442589481
25,0.021689893701016705
26,-0.012903814615987838
27,-0.03991088289604753
28,0.07549199845876915
29,0.031725560584391625
30,-0.026596714405613297
31,0.06528277721342621
32,-0.00029659919129803
33,0.01873297546479245
34,-0.01311113820834815
35,0.10867385710382797
36,0.03500090534566106
37,0.0004287718147404742
38,-0.0004939110727247331
39,0.0001611975655905119
40,-0.017280068758459527
41,0.01939412720790546
42,-0.028198786585297602
43,-0.04959823243452684
44,0.02087973883662151
45,0.0018147353512092095
46,0.0112026174785014
47,-0.008257568982447084
48,0.01104215951678166
49,0.021457946711495354
50,0.038776709379779374
51,0.006708459655557512
52,-0.03572984809722182
53,0.025341336050132668
54,0.03777515946492364
55,0.016797468213221953
56,0.04159542992688221
57,0.021472522319485186
58,0.011739100871592472
59,0.014699500657744991
60,-0.047981783077159494
61,0.01512174231148012
62,0.019555000069357585
63,-0.01853333653704064
64,-0.033770096269985075
65,0.05350456753227686
66,0.03313703143484257
67,-0.0027956665532773445
68,0.016734800314513198
69,0.0124895282136432
70,-0.012955496691347823
71,-0.025566392096272688
72,-0.0401039555845564
73,0.020826757944707976
74,-0.009103639732371679
75,-0.02628440314184108
76,-0.00022565133706039763
77,-0.037832668175655795
78,0.07308282002576673
79,-0.00873778836400315
80,0.02013416401752779
81,0.03272907676319648
82,-0.07229974187868927
83,0.0267042997101323
84,0.008656251547030331
85,0.003489523218773478
86,-0.0020746790531070694
87,0.03153346200829792
88,-0.00034849773608360555
89,0.022690920481427256
90,-0.04166125467138085
91,0.006106043283255011
92,0.037481410454395896
93,0.0041120892867747925
94,0.02402772741916791
95,0.020832151641228966
96,0.04200417831975547
